Song Name,Artist Name,Mood,Song Link,Popularity,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms
Malang,Ved Sharma,Angry,https://youtu.be/KBIq11mNB0I?feature=shared,68,0.384,0.728,7,-6.503,0,0.0623,0.329,1.85E-05,0.329,0.311,156.396,287374
Walk It Talk It,Migos,Angry,https://youtu.be/A_xWDAbnBSU?feature=shared,78,0.907,0.633,2,-5.145,1,0.184,0.0876,2.60E-06,0.106,0.395,145.914,276147
Baari,Bilal Saeed,Angry,https://youtu.be/h18s7zlYOyg?feature=shared,62,0.432,0.612,11,-8.846,0,0.211,0.00185,0,0.308,0.253,88.716,205333
Levitating,Dua Lipa,Angry,https://youtu.be/1j_XvebOg4c?feature=shared,90,0.442,0.612,2,-7.222,1,0.112,0.584,5.70E-06,0.37,0.178,180.917,215507
Lucid Dreams,Juice WRLD,Angry,https://youtu.be/mzB1VGEGcSU?feature=shared,82,0.905,0.647,10,-5.065,0,0.107,0.0187,0,0.282,0.367,130.97,190534
Our Song,Anne-Marie,Angry,https://youtu.be/E6oWODMxvbA?feature=shared,64,0.474,0.792,5,-3.302,1,0.051,0.0662,1.09E-06,0.277,0.31,141.926,251831
Gang Shit No Lame Shit,Key Glock,Angry,https://youtu.be/sbP-2pXrvXg?feature=shared,66,0.494,0.651,11,-4.127,0,0.0384,0.0819,0,0.104,0.162,149.979,222400
Besabriyaan,Armaan Malik,Angry,https://youtu.be/UBBHpoW3AKA?feature=shared,67,0.614,0.605,0,-5.63,1,0.0319,0.21,0,0.162,0.333,127.099,217867
What If,Johnny Orlando,Angry,https://youtu.be/5ZTEjjh7clE?feature=shared,0,0.333,0.637,1,-4.904,0,0.0581,0.131,1.80E-05,0.149,0.132,139.898,172693
Interstellar,Geek Music,Angry,https://youtu.be/1ki7oATXdXc?feature=shared,67,0.614,0.605,0,-5.63,1,0.0319,0.21,0,0.162,0.333,127.099,217867
Jalebi Baby,Tesher,Angry,https://youtu.be/IFtwhMK64H8?feature=shared,67,0.614,0.605,0,-5.63,1,0.0319,0.21,0,0.162,0.333,127.099,217867
Two of Us,Louis Tomlinson,Angry,https://youtu.be/jukhJtIhsik?feature=shared,0,0.523,0.607,1,-4.754,0,0.03,0.512,0,0.106,0.0651,145.837,217867
Stereo Love,Edward Maya,Angry,https://youtu.be/y9Kqb2z9Lzs?feature=shared,80,0.706,0.625,0,-7.426,1,0.0314,0.0417,0,0.129,0.225,142.948,242181
